liveqa,smallgroups,projects,polls,feedback,express,examples,overall
A moderate amount,Frequently,Very infrequently,Very infrequently,Infrequently,A moderate amount,A moderate amount,Neutral
Frequently,Very frequently,Frequently,Very infrequently,Very infrequently,Frequently,A moderate amount,Satisfied
Very frequently,Very frequently,Infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Dissatisfied
Infrequently,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Frequently,Very infrequently,Dissatisfied
Infrequently,A moderate amount,Very infrequently,Very infrequently,Infrequently,Frequently,Infrequently,Very dissatisfied
Very infrequently,Very infrequently,Infrequently,Infrequently,Very infrequently,Very infrequently,Very infrequently,Dissatisfied
Infrequently,Very infrequently,Not applicable to my course,Frequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
Frequently,Very frequently,Not applicable to my course,Very infrequently,Infrequently,Frequently,Very frequently,Satisfied
Infrequently,Infrequently,Very infrequently,Very infrequently,Very infrequently,Infrequently,Infrequently,Very dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very dissatisfied
Very infrequently,Infrequently,A moderate amount,A moderate amount,Frequently,Frequently,Frequently,Satisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Not applicable to my course,Very dissatisfied
Very frequently,Very frequently,Not applicable to my course,Very frequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very frequently,Very frequently,Frequently,Infrequently,Very frequently,Very frequently,Very frequently,Very satisfied
Very infrequently,Very infrequently,Not applicable to my course,Very infrequently,Frequently,Very frequently,Not applicable to my course,Very dissatisfied
Very infrequently,Not applicable to my course,Not applicable to my course,Very infrequently,Not applicable to my course,Very infrequently,Not applicable to my course,Neutral
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Frequently,Frequently,A moderate amount,Satisfied
Very frequently,A moderate amount,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Satisfied
Infrequently,Very frequently,Frequently,Very frequently,A moderate amount,Frequently,A moderate amount,Dissatisfied
A moderate amount,A moderate amount,Infrequently,A moderate amount,A moderate amount,Frequently,A moderate amount,Very dissatisfied
Frequently,Very frequently,Infrequently,Infrequently,Frequently,Frequently,Frequently,Satisfied
Very frequently,Infrequently,Not applicable to my course,Frequently,Very infrequently,Very frequently,Frequently,Satisfied
Not applicable to my course,Infrequently,Not applicable to my course,Infrequently,Infrequently,Infrequently,Infrequently,Very dissatisfied
Very frequently,Very frequently,Very frequently,Very frequently,Frequently,Frequently,Frequently,Satisfied
Infrequently,,Very infrequently,Very infrequently,Very infrequently,Infrequently,Infrequently,Neutral
Frequently,Very frequently,Very frequently,Not applicable to my course,Frequently,Very frequently,Frequently,Neutral
Frequently,Frequently,A moderate amount,Infrequently,Very frequently,Very frequently,Very frequently,Satisfied
A moderate amount,Very infrequently,Very infrequently,Very infrequently,A moderate amount,A moderate amount,Infrequently,Very dissatisfied
Frequently,Frequently,Very infrequently,Very infrequently,A moderate amount,Infrequently,Very infrequently,Dissatisfied
Very infrequently,Very infrequently,Very infrequently,Infrequently,Very infrequently,Very frequently,Very infrequently,Dissatisfied
A moderate amount,Very frequently,A moderate amount,Frequently,Very frequently,Very frequently,A moderate amount,Satisfied
A moderate amount,Very infrequently,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Satisfied
Frequently,Very frequently,Frequently,Infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,Not applicable to my course,Frequently,Very frequently,Not applicable to my course,Neutral
Frequently,Frequently,Frequently,Frequently,Infrequently,Frequently,A moderate amount,Dissatisfied
A moderate amount,Very frequently,A moderate amount,Frequently,Very frequently,Very frequently,Very frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,Very infrequently,Very frequently,Very frequently,Very frequently,Satisfied
Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
A moderate amount,Infrequently,Very infrequently,Infrequently,A moderate amount,Infrequently,A moderate amount,Neutral
A moderate amount,Frequently,Infrequently,A moderate amount,Frequently,Frequently,Frequently,Satisfied
A moderate amount,Frequently,Infrequently,Very infrequently,Infrequently,A moderate amount,Infrequently,Dissatisfied
A moderate amount,Infrequently,Very infrequently,A moderate amount,Very infrequently,Very infrequently,Very infrequently,Very dissatisfied
Very frequently,A moderate amount,Not applicable to my course,Not applicable to my course,A moderate amount,Very infrequently,Very infrequently,Very dissatisfied
Not applicable to my course,Not applicable to my course,Not applicable to my course,Infrequently,Very infrequently,A moderate amount,Very infrequently,Dissatisfied
Very frequently,Infrequently,Infrequently,A moderate amount,Frequently,Frequently,Frequently,Satisfied
Infrequently,Very infrequently,Not applicable to my course,Very infrequently,Infrequently,Very infrequently,Very infrequently,Neutral
Very frequently,Very frequently,Infrequently,Infrequently,A moderate amount,A moderate amount,A moderate amount,Very dissatisfied
Frequently,A moderate amount,Infrequently,Very infrequently,Infrequently,Very frequently,A moderate amount,Neutral
Very infrequently,Very frequently,Not applicable to my course,Frequently,Very frequently,Frequently,Frequently,Satisfied
Very frequently,Very frequently,Not applicable to my course,Very infrequently,Frequently,Very frequently,Very infrequently,Very satisfied
Very infrequently,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Infrequently,Dissatisfied
